smiles,hit0,hit1
[H]OC([H])([H])C([H])([H])n1c([H])c2c3c(c([H])c([H])c(N([H])C4=NC([H])([H])C([H])([H])C([H])([H])S4)c31)C([H])([H])C2([H])[H],z0892b,z0767a
[H]c1c([H])c(C([H])([H])C([H])([H])[H])c([H])c(F)c1C(=O)C1=NC([H])([H])C([H])([H])C([H])([H])S12C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H],z0892b,z0898a
[H]Oc1c(N([H])C2=NC([H])([H])C([H])([H])C([H])([H])S2)c([H])c([H])c(C([H])([H])C([H])(F)F)c1C([H])([H])[H],z0892b,z0927a
[H]O[C@@]1([H])C([H])([H])C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])[C@@]1([H])N([H])C1=NC([H])([H])C([H])([H])C([H])([H])S1,z0892b,z0968a
[H]c1c([H])c([H])c2c(N([H])S(=O)(=O)C([H])([H])[H])c(N([H])C3=NC([H])([H])C([H])([H])C([H])([H])S3)c([H])c([H])c2c1[H],z0892b,z0991b
[H]N1C([H])([H])C([H])([H])N(C(=O)[C@@]([H])(C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H],z0898a,z0136b
[H]c1c([H])c(/C(=N/C([H])([H])[H])N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c(F)c([H])c1C(=O)C([H])([H])N([H])[H],z0898a,z0184a
[H]c1c([H])c(C([H])([H])[H])c([H])c(C(=O)N2C([H])([H])C([H])([H])N([H])[C@@]([H])(C([H])([H])[H])C2([H])[H])c1F,z0898a,z0186a
[H]C1N[C@@H](C(=O)N2C([H])([H])C([H])([H])N([H])C([H])([H])[C@]2([H])C([H])([H])[H])C([H])C1[H],z0898a,z0207a
[H]c1c([H])c(F)c2c(c1[H])OC([H])([H])C2(O)N1C([H])([H])C([H])([H])C(=O)C([H])([H])C1([H])[H],z0898a,z0397a
[H]c1n[nH]c(C([H])([H])Oc2c([H])c([H])c3c(F)c([H])c([H])c([H])c3c2C(=O)N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c1[H],z0898a,z0481b
[H]ON(c1c([H])c(Br)c([H])c([H])c1C(=O)N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H])C([H])([H])[H],z0898a,z0767a
[H]C1=NC([H])([H])C([H])([H])C([H])([H])C12C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H],z0898a,z0892b
[H]c1c(F)c(OC([H])([H])F)c(C([H])([H])[H])c(F)c1C(=O)N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],z0898a,z0927a
[H]N1C([H])([H])C([H])([H])N(C(=O)[C@@]2([H])C([H])([H])C3(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])[C@]2([H])F)C([H])([H])C1([H])[H],z0898a,z0968a
[H]c1c([H])c([H])c2c(N([H])S(=O)(=O)C([H])([H])[H])c(F)c(C(=O)N3C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c([H])c2c1[H],z0898a,z0991b
[H]c1c([H])c([H])c2c(c1[H])C([H])([H])[C@]1([H])N([H])[C@](O)(C([H])([H])[H])[C@]3([H])N([H])C(=O)N([H])[C@]231,z0903c,z0136b
[H]c1c(C([H])([H])N([H])[H])c([H])c([C@]2(C([H])([H])C([H])([H])[H])C(=O)N([H])C(=O)N2[H])c([H])c1C([H])([H])[C@]([H])(OC([H])([H])[H])C([H])([H])C([H])([H])[H],z0903c,z0184a
[H]c1c(C([H])([H])[H])c(C(=O)N2C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C2([H])[H])c(F)c2c1[C@@]1(C(=O)N([H])C(=O)N1[H])C([H])([H])C2([H])[H],z0903c,z0186a
[H]OC([H])([H])[C@]([H])(N(c1c([H])c(Cl)c([H])c2c1C([H])([H])C([H])([H])[C@]21C(=O)N([H])C(=O)N1[H])C([H])([H])[H])C([H])([H])[H],z0903c,z0207a
[H]c1c([H])c(OC([H])([H])C(=O)N2C([H])([H])C(=O)N([H])C([H])([H])C2([H])[H])c2c(c1[H])[C@@]1(C(=O)N([H])C(=O)N1[H])C([H])([H])C2([H])[H],z0903c,z0397a
[H]N1O[C@]2([H])N([H])C(=O)N([H])[C@]2(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])F,z0903c,z0481b
[H]c1c([H])c([H])c2c(c1[H])[C@]([H])(S(=O)(=O)N([H])[H])C([H])([H])[C@]21C(=O)N([H])C(=O)N1[H],z0903c,z0625b
[H]c1c([H])c2c([H])c(c1Br)C([H])([H])C([H])([H])/N=C1/N([H])C(=O)N([H])[C@@]1([H])C([H])([H])C2([H])[H],z0903c,z0767a
[H]c1c(N([H])C2=NC([H])([H])C([H])([H])C([H])([H])S2)c2c(c([H])c1C([H])([H])[H])[C@@]1(C(=O)N([H])C(=O)N1[H])C([H])([H])C2([H])[H],z0903c,z0892b
[H]c1c([H])c(C(=O)N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c2c(c1[H])[C@@]1(C(=O)N([H])C(=O)N1[H])C([H])([H])[C@@]2([H])F,z0903c,z0898a
[H]O[C@]1([H])c2c([H])c([H])c([H])c(F)c2[C@@]2(C(=O)N([H])C(=O)N2[H])[C@]1([H])C([H])([H])[H],z0903c,z0927a
[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])[C@]1([H])C([H])([H])C2(C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[C@]([H])([C@]2(C([H])([H])C([H])([H])[H])C(=O)N([H])C(=O)N2[H])C1([H])[H],z0903c,z0968a
[H]ON([H])[C@@]1([H])C([H])([H])C2=C(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]12C(=O)N([H])C(=O)N2[H],z0903c,z0991b
[H]Oc1c([H])c(N(F)C([H])([H])C([H])([H])[H])c(N([H])C(=O)C([H])([H])[H])n1C([H])([H])[H],z0927a,z0136b
[H]Oc1c(OC([H])([H])[H])c(C(F)(F)ON([H])[H])nn1C([H])([H])[H],z0927a,z0184a
[H]N1C([H])([H])C([H])([H])N2C(=O)c3c(C(F)(F)F)c(F)n(C([H])([H])[H])c3[C@]2([H])[C@@]1([H])C([H])([H])[H],z0927a,z0186a
[H]OC([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])[C@]2(N([H])N(C([H])([H])[H])[C@]1([H])O[H])N(F)C([H])([H])[C@@]([H])(Cl)[C@]([H])(F)N2[H],z0927a,z0207a
[H]ON(C(=O)N1C([H])([H])C(=O)N([H])C([H])([H])C1([H])[H])c1c([H])c(C(F)(F)F)nn1C([H])([H])[H],z0927a,z0397a
[H]O[C@]1([H])C2=C(N([H])N1C([H])([H])[H])C(F)(F)C([H])([H])C([H])([H])C2([H])[H],z0927a,z0481b
[H]Oc1c([H])c(C(F)(F)F)c([C@@]([H])(N([H])C([H])([H])[H])S(=O)(=O)N([H])[H])n1C([H])([H])[H],z0927a,z0625b
[H]Oc1c([H])c(C(F)(F)F)c(C([H])([H])C([H])([H])O[H])n1C([H])([H])[H],z0927a,z0767a
