smiles,hit0,hit1
[H]OC([H])([H])[C@]1([H])c2c3c(c(C([H])([H])[H])c([H])c2[C@]([H])(C([H])([H])[H])C([H])([H])C1([H])[H])N([H])C([H])([H])C([H])([H])C3([H])[H],z0904a,z0653a
[H]c1c([H])c([C@]([H])(C(=O)C([H])([H])[H])C([H])([H])[H])c([H])c2c1N([H])C([H])([H])C([H])([H])C2([H])[H],z0904a,z0764a
[H]C1N[C@@]2(C([H])C([H])C1[H])[C@@H](N([H])[H])[C@@H]1C([H])[C@@H]2C([H])([H])C([H])([H])C([H])([H])C1([H])[H],z0904a,z0881a
[H]C1/C(=N\C(=O)C([H])([H])C([H])([H])[H]):O:C(C([H])([H])[H]):C1C([H])([H])[C@]([H])(Cl)c1nc([H])c([H])c([H])c1[H],z0904a,z0900b
[H]C(=O)N([H])C(=O)[C@@H]1c2c([H])c([H])nc(C([H])([H])C([H])([H])[H])c2C([H])C1[H],z0904a,z0903a
[H]C([H])([H])C1:O[C@@H]2C(:C(C([H])([H])[H]):O:1)C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]21[H],z0904a,z0922a
[H]c1c([H])c2c(c([H])c1C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N2[H],z0904a,z0936a
[H]O[C@@]1(C([H])([H])[H])C([H])([H])[C@]2(C([H])([H])C3=C(C([H])([H])C([H])([H])C([H])([H])N3[H])C([H])([H])C2([H])[H])C([H])([H])[C@@]1([H])N([H])S(=O)(=O)C([H])([H])[H],z0904a,z0991a
[H]C1=c2c3c(c([H])c([H])c2:N(C([H])([H])[H])N=C1[C@]([H])(N([H])[H])C([H])([H])[H])N([H])C([H])([H])C([H])([H])C3([H])[H],z0904a,z0995a
[H]c1c([H])c([C@]([H])(C(=O)N([H])C([H])([H])C([H])([H])N2C(=O)C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[H])c([H])c2c1N([H])C([H])([H])C([H])([H])C2([H])[H],z0904a,z1018a
[H]OC([H])([H])C([H])([H])c1c([H])c([H])c([H])c2c3c(n([H])c12)[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])N3[H],z0904a,z1040a
[H]N1C2=C(C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[C@@]([H])(C(=O)C([H])([H])[H])C([H])([H])C2([H])[H],z0904a,z1041a
[H]OC(=O)c1c(C([H])([H])[H])oc2c([H])c([H])c(N([H])S(=O)(=O)c3c([H])c([H])c(CN([H])[C@]4([H])c5c([H])c(C(=O)C([H])([H])[H])c([H])c([H])c5N([H])C([H])([H])C4([H])[H])c([H])c3[H])c([H])c12,z0904a,3vws-b
[H]OC(=O)[C@@]([H])(N([H])C(=O)c1c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c(=O)n2c3c(sc12)[C@@]1(c2c([H])c(C(=O)C([H])([H])[H])c([H])c([H])c2N([H])C([H])([H])C1([H])[H])C([H])([H])[C@@]([H])(OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C3([H])[H])C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H],z0904a,5iq6-a
[H]OC(=O)C1(N([H])C(=O)C([H])([H])c2c(C(=O)C([H])([H])[H])c(N([H])c3c(Cl)c([H])c([H])c([H])c3Cl)c([H])c3c2C([H])([H])C([H])([H])C([H])([H])N3[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2C1([H])[H],z0904a,6xd0-a
[H]N1C([H])([H])C([H])([H])C([H])([H])[C@]2(C1([H])[H])C([H])([H])[C@@]([H])(C(=O)C([H])([H])[H])C([H])([H])[C@]2([H])N([H])S(=O)(=O)C([H])([H])[H],d0172a,z0904a
[H]c1nnc(-c2c([H])c([H])c(C([H])([H])C([H])([H])N(C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])S(=O)(=O)C([H])([H])[H])c([H])c2OC([H])([H])[H])o1,d0172a,d0411b
[H]c1nnc(-c2c([H])c(C([H])([H])N([H])[C@]3([H])C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])N([H])S(=O)(=O)C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])o1,d0172a,d0411a
