Retro_OK_batch1-2024-12-10-A,,,,,,,,,,,,,,,,,,,,,,,,,,
smiles,name,fragmenstein_runtime,Multi-SuCOS,HIPPO Pose ID,HIPPO Compound ID,_id,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,merge_set,inspiration_1,inspiration_2,inspiration_3,inspiration_4,inspiration_5,inspiration_6,purple,purple-text,green,green-text,blue,blue-text,red,red-text
C[C@H](CC(=O)N1CCO[C@H](c2cc[nH]n2)C1)C1CCNCC1,v120a,[3.31825852394104],0.425028,41179,8412,3710,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211038/C8412-P12'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0160a,d0851a,,,,,,,,,,,TRUE,bad
c1ccc([C@@H](NCCCNc2ccncc2)c2ncc[nH]2)cc1,v122a,[6.1579430103302],0.305732,41312,8711,3712,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211034/C8711-P19'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0191a,z0875c,,,,,,,,,,,TRUE,bad
O=C1CC(CC(=O)N2CCC[C@H](c3ccn[nH]3)C2)CC(=O)N1,v123a,[2.9159255027770996],0.490176,41372,8618,3713,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211038/C8618-P12'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0160a,d0851a,,,,,,,,,,,TRUE,bad
O=C1CC(CC(=O)N2CCC[C@H](c3ccn[nH]3)C2)CC(=O)N1,v123b,[4.065148591995239],0.480874,41377,8618,3714,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211038/C8618-P66'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0160a,d0851a,,,,,,,,,,,TRUE,bad
O=C1CC[C@H](CN2CCC[C@H](c3ccn[nH]3)C2)C(=O)N1,v125a,[2.2209980487823486],0.48706,64642,8625,3715,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217037/C8625-P66,acceptable,expansion,None,,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0160a,d0851a,,,,,,,,,,,TRUE,bad
c1ccc([C@H](NCCCNc2ccncc2)c2ncc[nH]2)cc1,v122b,[2.7292873859405518],0.462572,41596,8711,3718,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211038/C8711-P42'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0472a,z0103a,,,,,,,,,,,TRUE,bad
CC(C)c1c[nH]c(CNCCCNc2ccccc2)n1,v131a,[5.840334415435791],0.406309,41945,8706,3721,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211038/C8706-P42'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0472a,z0103a,,,,,,,,,,,TRUE,bad
CN(Cc1cc[nH]n1)C(=O)Cc1scnc1-c1ccccc1,v136a,[5.283971786499023],0.523173,43576,8542,3726,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211034/C8542-P12'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0160a,d0264a,,,,,,,,,,,TRUE,bad
CCn1cncc1CN(C)C(=O)[C@@H]1C=CCN1,v137a,[6.8599114418029785],0.447207,43655,11905,3727,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211035/C11905-P68'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0866a,z0875c,,,,,,,,,,,TRUE,bad
O=S(=O)(c1cc[nH]n1)N1CCC[C@H]1CCl,v138a,[2.7865326404571533],0.666675,73574,13086,3728,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217039/C13086-P68,acceptable,expansion,None,OPOSJVRARWHRPJ-ZETCQYMHSA-N,RdRp_knitwork_primer_grip_n_pocket_pure_fragalysis.sdf,d0160a,d0866a,,,,,TRUE,experimental,,,,,,
c1cc(N2CCCOCC2)ccn1,v144a,[2.976625442504883],0.571717,45394,14910,3734,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211034/C14910-P26'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0191a,d0254a,,,,,,,,,,,TRUE,bad
CN(CCNC(=O)C[C@H]1CCCCO1)C(=O)c1cccnc1,v146b,[7.294503211975098],0.541853,45423,15070,3737,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211034/C15070-P26'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0191a,d0254a,,,,,,,TRUE,okay,,,,
O=C(C=Cc1cscn1)OCCCC[C@H]1CCCO1,v148a,[5.221753358840942],0.566935,46189,9420,3738,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211036/C9420-P19'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0191a,d0254a,,,,,,,,,,,TRUE,bad
O=C(C=Cc1cscn1)OCCCC[C@H]1CCCO1,v148b,[4.1744325160980225],0.536656,46190,9420,3739,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211036/C9420-P26'],['acceptable'],['expansion'],[''],,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,d0191a,d0254a,,,,,,,,,,,TRUE,bad
