,compound,smiles,quote_id,quote_entry,quote_price_USD,quote_amount_mg,quote_catalogue,JA curated YES,DF curated NO,AC curated INTERESTING,DF curated INTERESTING,Enamine_Order_1968912,AC curated YES,DF curated YES,JA curated MAYBE,JA curated INTERESTING,JA curated NO,LCD curated YES,LCD curated INTERESTING,#curated YES,#curated NO,#curated INTERESTING
15,1191,CCS(=O)(=O)NCC1CCCN(Cc2cccc3ccccc23)C1,,,,,,,,True,True,,,,,,,,,0,0,2
16,1443,CC(C)(CO)NC(=O)C1=CSC(=N1)C=2C=CSC2,962.0,Z425735388,144.0,5.0,sRDB,True,True,,,True,,,,,,,,2,2,1
17,2600,CC(C)(C)OCC(O)c1ccncn1,,,,,,,,True,,,,,,,,,,0,0,1
18,2614,CCCN(CCC)S(=O)(=O)NC(C)C=1N=CC=CN1,814.0,Z3618333376,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
19,2658,CC(NS(=O)(=O)CC(C)(C)C#N)C=1N=CC=CN1,813.0,Z3618333085,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
20,2664,C[C@@H](NS(=O)(=O)CC#N)C=1N=CC=CN1,934.0,Z9412090079,132.0,5.0,sRDB,True,,,True,True,,,,,,,,2,1,2
21,8588,CCS(=O)(=O)NCc1ccc(C=CC(=O)O)s1,,,,,,True,,,,,True,,,,,,,2,0,0
22,14910,C1=CC(=CC=N1)N2CCCOCC2,747.0,Z1957676618,125.0,5.0,sRDB,,,,True,,,,,,,,,0,0,1
23,15070,CN(CCNC(=O)CC1CCCCO1)C(=O)C=2C=CC=NC2,866.0,Z9426627581,187.0,5.0,mRDB,,,True,,,,,,,,,,0,0,1
24,9420,O=C(C=CC1=CSC=N1)OCCCCC2CCCO2,807.0,Z3383153484,125.0,5.0,sRDB,,,,,,True,,,,,,,2,1,1
25,2576,CC(C)(CO)NC(=O)N1CCC(C1)C=2C=CON2,981.0,Z3374716368,216.0,5.0,mRDB,True,True,,,True,,,,,,,,2,2,1
26,2576,CC(C)(CO)NC(=O)N1CCC(C1)C=2C=CON2,981.0,Z3374716368,216.0,5.0,mRDB,True,True,,,True,,,,,,,,2,2,1
27,1237,CCS(=O)(=O)N(C)C1CCN(CC1)C(=O)CC=2C=CC=NC2,769.0,Z1178038993,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
28,14066,CC(O)C1=NC=C(CNC(CCC=2C=CC=CC2)CC(=O)O)S1,860.0,Z3838487329,187.0,5.0,mRDB,,,True,,,,,,,,,,0,0,1
29,14067,CCC1=NC=C(CNC(CCC=2C=CC=CC2)CC(=O)O)S1,855.0,Z2899420163,187.0,5.0,mRDB,,,True,,,,,,,,,,0,0,1
30,23454,c1nc(-c2n[nH]c3c2CCCC3)c[nH]1,,,,,,,,True,True,,,,,,,,,0,0,2
31,14551,CC=1N=CSC1COC(=O)COC=2C=CSC2,760.0,Z2000307411,125.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
32,2829,CCS(=O)(=O)NCC1CC(=O)N(c2ccc(C)cc2)C1,,,,,,True,,True,,,,,,,,,,2,1,2
33,3075,CCS(=O)(=O)NCC1CC(=O)N(C1)C=2C=CC(Cl)=CC2,972.0,Z1744828268,144.0,5.0,sRDB,True,,True,,True,,,,,,,,2,1,2
34,3914,CCS(=O)(=O)NCC1CN(c2ncc(F)cn2)Cc2cncn21,,,,,,,,True,True,,,,,,,,,0,0,2
35,21062,CC(=O)NCCN(Cc1ccsc1)C(=O)c1cnccc1O,,,,,,,,True,,,,,,,,,,0,0,1
36,1623,CCS(=O)(=O)NCC1=CN(CCCN2C=NC=N2)N=N1,935.0,Z9426627126,132.0,5.0,sRDB,,,True,,,,,,,,,,0,0,1
37,983,CCS(=O)(=O)NCC1CCCC2CC12,853.0,Z2509405973,187.0,5.0,mRDB,,,,True,,,,,,,,,0,0,1
38,1194,CCS(=O)(=O)NCC1C=CCCCC1,857.0,Z3337393275,187.0,5.0,mRDB,,,,True,,,,,,,,,0,0,1
39,5802,CC(C=1C=CC=CC1)S(=O)(=O)NC(C=2N=CC=CN2)C3CC3,858.0,Z3475395797,187.0,5.0,mRDB,,,True,True,,,,,,,,,0,0,2
40,1465,CCS(=O)(=O)NCC1CCCC2(CC2)C1,854.0,Z2512801959,187.0,5.0,mRDB,,,,True,,,,,,,,,0,0,1
41,9207,CCOC(=O)CC(C)OC(=O)c1ccnn1-c1ccncc1,,,,,,,,True,,,,,,,,,,0,0,1
42,9207,CCOC(=O)CC(C)OC(=O)c1ccnn1-c1ccncc1,,,,,,,,True,,,,,,,,,,0,0,1
43,772,CCS(=O)(=O)NCC=1N=CC=CC1OC,980.0,Z5025266519,144.0,5.0,sRDB,True,,,True,True,,,,,,,,2,1,2
44,791,CCS(=O)(=O)NCC=1N=CC=CC1F,968.0,Z1498584846,144.0,5.0,sRDB,True,,,True,True,,,,,,,,2,1,2
45,808,CCS(=O)(=O)NCC1=NC(Cl)=CC=C1Br,979.0,Z3820117159,144.0,5.0,sRDB,True,,,True,True,,,,,,,,2,1,2
46,850,CCS(=O)(=O)NCC=1C=CN=CC1C,958.0,Z1742120905,144.0,5.0,sRDB,True,,,True,True,,,,,,,,2,1,2
47,852,CCS(=O)(=O)NCC=1N=CC=CC1C,957.0,Z1130340361,144.0,5.0,sRDB,True,,,True,True,,,,,,,,2,1,2
48,856,CCS(=O)(=O)NCC=1N=CC(C)=CC1C,976.0,Z2890054145,144.0,5.0,sRDB,True,,,True,True,,,,,,,,2,1,2
49,885,CCS(=O)(=O)NCC=1C=NC(C)=CC1C,973.0,Z2279849399,144.0,5.0,sRDB,True,,,True,True,,,,,,,,2,1,2
50,886,CCS(=O)(=O)NCC=1N=CC=CC1Cl,875.0,Z3016999067,75.0,5.0,Advanced,True,,,True,True,,,,,,,,2,1,2
